"url","ID","Precio","Habitaciones","Banos","Dimension_propiedad","Dimension_terreno","Comuna_Ciudad","Type1","Venta_Arriendo","Nuevo_Usado","Region","Estrato","Parqueaderos","Year","Descripcion","Seller","Tipo_de_vendedor","Phone1","Phone2","Email","Imagen","URL","company_id"
"https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-conquistadores-3-habitaciones-4-banos-1-garajes/18597-M6098412","18597-M6098412","4200000","3","4","120","120","Medellín","Apartamento","arriendo","Usado","Conquistadores","5","1","Más de 20 años","este espectacular apartamento está ubicado en exclusivo sector de conquistadores en el centro de Medellín cerca a la avenida la 33;cerca de allí encontrarás el centro de convenciones plaza mayor y también encontrarás El pueblito paisa un icono turístico de nuestra ciudad, ademas también encontrarás excelente rutas de transporte que te conectarán con el centro de Medellín y con el Occidente de la ciudad llevándote hacia el centro comercial unicentro dónde podrás compartir con tu familia y tus seres queridos.","NEX***PIT***SAS***","Broker","316***446***","604***471***",,"[""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_21_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_22_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_23_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_24_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_25_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_26_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_27_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_28_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_29_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_30_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_31_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_32_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_33_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_34_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_35_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_36_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_37_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_38_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_39_x.jpg"",""https://multimedia.metrocuadrado.com/18597-M6098412/18597-M6098412_40_x.jpg""]","https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-conquistadores-3-habitaciones-4-banos-1-garajes/18597-M6098412","9181"
"https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-conjunto-residencial-el-bosque-3-habitaciones-3-banos-2-garajes/20033-M5809864","20033-M5809864","460000000","3","3","118","118","Cali","Apartamento","venta","Usado","El caney","4","2","Entre 5 y 10 años","Este amplio y cómodo apartamento ofrece espacios diseñados para el confort de toda la familia. Distribuido en 118 m², cuenta con Tres alcobas con clósets la principal con baño privado,estudio o sala de televisión, baño auxiliar de alcobas y baño social, sala, comedor con excelente iluminación natural, balcón con vista exterior, cocina integral, cuarto de servicio con baño, parqueadero lineal para dos vehículos, depósito. El conjunto residencial ofrece amplias zonas comunes para el disfrute y bienestar Piscinas para adultos y niños, cancha múltiple, parque infantil, zonas verdes y jardines, parqueadero para visitantes, Lobby de acceso y vigilancia 247. Ubicado en una zona estratégica del sur de Cali, con fácil acceso a vías principales, clínicas, centros comerciales, supermercados y colegios.
Contáctanos para más información o para agendar una visita personalizada.","AGE***A I***BIL******","Broker","314***000***","314***000***",,"[""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_1_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_2_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_3_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_4_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_5_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_6_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_7_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_8_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_9_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_10_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_11_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_12_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_13_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_14_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_15_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_16_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_17_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_18_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_19_x.jpg"",""https://multimedia.metrocuadrado.com/20033-M5809864/20033-M5809864_20_x.jpg""]","https://www.metrocuadrado.com/inmueble/venta-apartamento-cali-conjunto-residencial-el-bosque-3-habitaciones-3-banos-2-garajes/20033-M5809864","10617"
"https://www.metrocuadrado.com/inmueble/venta-casa-lote-santagueda/17548-M5981880","17548-M5981880","530000000",,,"137","137","Santagueda","Casa lote","venta","Usado","Santagueda","3",,"Entre 0 y 5 años","TEMPERADERO EN CONDOMINIO RESIDENCIAL, AREA DE LOTE 1045 M2 CASA CONSTRUIDA DE 137 M2 Consta.    Sala, Comedor, 1 Habitación principal con baño privado y vestier, Cocina con isla, zona de ropas, 1 baño social.  2 NIVEL.  estudio o hall, 2 habitaciones. 3 NIVEL. 1 baño completo, 1 habitación, 1 balcón.  Piscina  plastica estructural 7.30 x 3.60,  con cuarto de maquinas,  arboles frutales, Parqueadero para 6 carros. EL CONDOMINIO SE ENCUENTRA A CINCO MINUTOS DE LA VIA PRINCPAL . SE RECIBE PERMUTA POR APARTAMENTO O CASA EN MANIZALES HASTA 300 MILLONES.","CAR*** HU***RTO*********","Broker","310***145***","310***145***",,"[""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_13_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_1_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_2_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_3_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_12_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_14_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_19_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_21_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_20_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_15_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_16_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_17_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_8_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_11_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_6_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_7_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_9_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_10_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_5_x.jpg"",""https://multimedia.metrocuadrado.com/17548-M5981880/17548-M5981880_4_x.jpg""]","https://www.metrocuadrado.com/inmueble/venta-casa-lote-santagueda/17548-M5981880","8132"
"https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-balcones-de-oriente-2-habitaciones-2-banos-1-garajes/4058-M4994047","4058-M4994047","1300000","2","2","65","65","Bogotá D.C.","Apartamento","arriendo","Usado","San cristobal norte","3","1","Entre 10 y 20 años","Apto de 65m2, consta de 2 habitaciones ,2 baños , cocina integral, sala comedor con buena entra de luz natural. 1 parqueadero . El conjunto cuenta con ascensor , gimnasio, salon comunal y zonas verdes.","EL ***N M***ADO*********ARI******","Broker","321***272***","321***272***",,"[""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_1_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_2_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_13_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_3_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_4_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_5_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_6_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_7_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_8_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_9_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_10_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_11_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_12_x.jpg"",""https://multimedia.metrocuadrado.com/4058-M4994047/4058-M4994047_14_x.jpg""]","https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-balcones-de-oriente-2-habitaciones-2-banos-1-garajes/4058-M4994047","2966"
"https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no2-3-habitaciones-2-banos-1-garajes/687-M6170823","687-M6170823","4650000","3","2","89","89","Medellín","Apartamento","arriendo","Usado","El poblado","6","1","Entre 10 y 20 años","Apartamento AMOBLADO en arriendo en unidad cerrada cerca a supermercados, centros comerciales, rutas de transporte público y muchos otros servicios complementarios, calle muy tranquila, sin flujo vehicular, tránsito de solo residentes y servicios complementarios del sector. Piso en cerámica, sala comedor, 3 alcobas con vestier y baño en la principal, baño social, cocina integral abierta tipo americano, zona de ropas, balcón y parqueadero cubierto. Conjunto cerrado con ascensor, piscina, parques infantiles, zonas verdes, vigilancia y portería 24 horas y circuito cerrado de TV *Inmuebles sujetos a verificación de disponibilidad.*
","PRO***EGR***SA","Broker","604***585***","304***546***",,"[""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_1_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_2_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_3_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_4_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_5_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_6_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_7_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_8_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_9_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_10_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_11_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_12_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_13_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_14_x.jpg"",""https://multimedia.metrocuadrado.com/687-M6170823/687-M6170823_15_x.jpg""]","https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no2-3-habitaciones-2-banos-1-garajes/687-M6170823","2669"
"https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-jose-v-sector-3-habitaciones-2-banos-1-garajes/17637-M5235073","17637-M5235073","460000000","3","2","76","76","Bogotá D.C.","Apartamento","venta","Usado","Portales del norte","4","1","Entre 10 y 20 años","Código 13894 Hermoso apartamento ubicado en piso 6. sobre la Calle 170 con una vista espectacular de la Ciudad de Bogotá. cuenta con ventanas anti ruido. 3 habitaciones. 2 baños. parqueadero. depósito. El conjunto cuenta con parque infantil. cancha de micro futbol. salón social. sauna. cuarto útil por piso con shut de basura. terraza panorámica. en el primer piso se encuentran establecimientos comerciales y cafetería.No pierdas la oportunidad de vivir en una de las zona de gran valorización de Bogotá. con una ubicación estratégica muy cerca a centros comerciales. tiendas de cadena. transporte público. entre otros.","CIM***ROU***OLO*********","Broker","304***968***",,,"[""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_21_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_22_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_23_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_24_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_25_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_26_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_27_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_28_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_29_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_30_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_31_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_32_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_33_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_34_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_35_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_36_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_37_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_38_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_39_x.jpg"",""https://multimedia.metrocuadrado.com/17637-M5235073/17637-M5235073_40_x.jpg""]","https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-jose-v-sector-3-habitaciones-2-banos-1-garajes/17637-M5235073","8221"
"https://www.metrocuadrado.com/inmueble/arriendo-apartamento-cali-na-3-habitaciones-2-banos/631-M5124641","631-M5124641","1300000","3","2","60","60","Cali","Apartamento","arriendo","Usado","Ciudad pacifica","4","0","Entre 0 y 5 años","Hermoso apartamento en alquiler al sur de la Ciudad,  sector ciudad pacífica.  Cuenta con tres habitaciones cada una con clóset , la principal con baño , un baño social adicional, Sala comedor de buen tamaño con balcón vista externa, cocina semi integral y zona de oficios con Lavadero y tendedero el conjunto cuenta con piscina , cancha múltiple, salón social ,juegos infantiles gimnasio y zonas verdes.  Bahía de parqueo externa y seguridad 24 x 7.
","UNI***UNI***INM*********","Broker","602***131***","318***520***",,"[""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_1_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_2_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_3_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_4_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_5_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_6_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_7_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_8_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_9_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_10_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_11_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_12_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_13_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_14_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_15_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_16_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_17_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_18_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_19_h.jpg"",""https://multimedia.metrocuadrado.com/631-M5124641/631-M5124641_20_h.jpg""]",,
"https://www.metrocuadrado.com/inmueble/venta-casa-cajica-cajica-4-habitaciones-4-banos-3-garajes/11013-M5969001","11013-M5969001","1450000000","4","4","277","250","Cajicá","Casa","venta","Usado","Cajica","4","3","Entre 10 y 20 años","EXCLUSIVA CASA EN VENTA CON ESPECTACULAR VISTA HACIA LA MONTAÑA UBICADA EN CAJICA  CON FACILES VIAS DE ACCESO, CERCA A LA VIA CAJICA – ZIPAQUIRA   EN CONDOMINIO RESIDENCIAL CON PISCINA, SEGURIDAD 247 , AREAS COMUNES DONDE PUEDES DISFRUTAR CON TU FAMILIA O AMIGOS , UN CAMPO DE GOLF DE 9 HOYOS  , SENDEROS NATURALES , PARQUE  DE NIÑOS Y PARA TU MAYOR COMODIDAD UN MINIMARKET , RESTAURANTE , CAPILLA  Y COWORKING ENTRE OTROS ESPACIOS MAS  . EXCLUSIVA CASA CUENTA CON JARDIN INTERIOR  DE 56 M2 CON UNA HERMOSA  PERGOLA, PRIMER  CON SALA y  CHIMENEA, ESTUDIO  OFICINA, COMEDOR INDEPENDIENTE, COCINA INTEGRAL TIPO AMERICANO,  SEGUNDO PISO  , 4 HABITACIONES PRINCIPAL CON BAÑO PRIVADO CON TINA y UN ESPECTACULAR WALK-IN CLOSET  con ESPEJOS , SALA DE TV Y 3 HABITACIONES MAS ¡NO DEJES PASAR ESTA OPORTUNIDAD! VIVE CON LA MEJOR COMODIDAD, RODEADO DE NATURALEZA Y UN AMBIENTE ÚNICO. DALE A TU FAMILIA EL HOGAR SOÑADO, CON LOS ESPACIOS Y SERVICIOS QUE MERECEN. ADRIANA BLANCO","RED***UEB***","Broker","313***333***","313***333***",,"[""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_41_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_42_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_43_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_44_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_45_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_46_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_47_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_48_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_49_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_50_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_51_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_52_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_53_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_54_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_55_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_56_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_57_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_58_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_59_x.jpg"",""https://multimedia.metrocuadrado.com/11013-M5969001/11013-M5969001_60_x.jpg""]","https://www.metrocuadrado.com/inmueble/venta-casa-cajica-cajica-4-habitaciones-4-banos-3-garajes/11013-M5969001","5097"
"https://www.metrocuadrado.com/inmueble/arriendo-apartamento-armenia-tres-esquinas-2-habitaciones-2-banos-1-garajes/MC5979627","MC5979627","3900000","2","2","102.25","94.76","Armenia","Apartamento","arriendo","Usado","Caimo   sur y alrededores al aeropuerto","6","1","Entre 0 y 5 años","Amplia Suite amoblada , totalmente nueva. Ubicada en un sector exclusivo con cercania al aereopuerto el Eden y a 5 minutos d ela ciudad . En medio de un entorno natural que les brinda confort y seguridad .  EL VALOR DE ARRIENDOES NEGOCIABLE",,,"318***229***","318***229***",,"[""https://multimedia.metrocuadrado.com/MC5979627/MC5979627_10_x.jpg"",""https://multimedia.metrocuadrado.com/MC5979627/MC5979627_4_x.jpg"",""https://multimedia.metrocuadrado.com/MC5979627/MC5979627_5_x.jpg"",""https://multimedia.metrocuadrado.com/MC5979627/MC5979627_6_x.jpg"",""https://multimedia.metrocuadrado.com/MC5979627/MC5979627_8_x.jpg"",""https://multimedia.metrocuadrado.com/MC5979627/MC5979627_9_x.jpg"",""https://multimedia.metrocuadrado.com/MC5979627/MC5979627_11_x.jpg"",""https://multimedia.metrocuadrado.com/MC5979627/MC5979627_12_x.jpg"",""https://multimedia.metrocuadrado.com/MC5979627/MC5979627_13_x.jpg""]","https://www.metrocuadrado.com/inmueble/arriendo-apartamento-armenia-tres-esquinas-2-habitaciones-2-banos-1-garajes/MC5979627",
,"4229-M3931010","8145000",,"3","181","181","Itagui","Local Comercial","arriendo","Usado","Itagui","6","0","Más de 20 años","Local en arrendamiento en excelente sector comercial e industrial de Itagui, cuenta con buenos acabados, amplios y comodos espacios de trabajo, cuenta con un area en primer piso de 91m2 y un mezanine de 90m2,  incluye parqueadero de visitantes, ubicado a solo 15 minutos de la estacion del metro Envigado y con buenas rutas de acceso al transporte publico, excelente flujo peatonal y vehicular.","Arr***ami***os ********* Um******","Broker","318***427***","318***427***",,"[""https://multimedia.metrocuadrado.com/4229-M3931010/4229-M3931010_1_h.jpg"",""https://multimedia.metrocuadrado.com/4229-M3931010/4229-M3931010_2_h.jpg"",""https://multimedia.metrocuadrado.com/4229-M3931010/4229-M3931010_3_h.jpg"",""https://multimedia.metrocuadrado.com/4229-M3931010/4229-M3931010_4_h.jpg"",""https://multimedia.metrocuadrado.com/4229-M3931010/4229-M3931010_5_h.jpg"",""https://multimedia.metrocuadrado.com/4229-M3931010/4229-M3931010_6_h.jpg"",""https://multimedia.metrocuadrado.com/4229-M3931010/4229-M3931010_7_h.jpg"",""https://multimedia.metrocuadrado.com/4229-M3931010/4229-M3931010_8_h.jpg""]","https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-itagui-la-esmeralda-3-banos/4229-M3931010",
